cat_name,link
Books,'indexhtml'
Travel,'/books/travel_2/indexhtml'
Mystery,'/books/mystery_3/indexhtml'
Historical Fiction,'/books/historical-fiction_4/indexhtml'
Sequential Art,'/books/sequential-art_5/indexhtml'
Classics,'/books/classics_6/indexhtml'
Philosophy,'/books/philosophy_7/indexhtml'
Romance,'/books/romance_8/indexhtml'
Womens Fiction,'/books/womens-fiction_9/indexhtml'
Fiction,'/books/fiction_10/indexhtml'
Childrens,'/books/childrens_11/indexhtml'
Religion,'/books/religion_12/indexhtml'
Nonfiction,'/books/nonfiction_13/indexhtml'
Music,'/books/music_14/indexhtml'
Default,'/books/default_15/indexhtml'
Science Fiction,'/books/science-fiction_16/indexhtml'
Sports and Games,'/books/sports-and-games_17/indexhtml'
Add a comment,'/books/add-a-comment_18/indexhtml'
Fantasy,'/books/fantasy_19/indexhtml'
New Adult,'/books/new-adult_20/indexhtml'
Young Adult,'/books/young-adult_21/indexhtml'
Science,'/books/science_22/indexhtml'
Poetry,'/books/poetry_23/indexhtml'
Paranormal,'/books/paranormal_24/indexhtml'
Art,'/books/art_25/indexhtml'
Psychology,'/books/psychology_26/indexhtml'
Autobiography,'/books/autobiography_27/indexhtml'
Parenting,'/books/parenting_28/indexhtml'
Adult Fiction,'/books/adult-fiction_29/indexhtml'
Humor,'/books/humor_30/indexhtml'
Horror,'/books/horror_31/indexhtml'
History,'/books/history_32/indexhtml'
Food and Drink,'/books/food-and-drink_33/indexhtml'
Christian Fiction,'/books/christian-fiction_34/indexhtml'
Business,'/books/business_35/indexhtml'
Biography,'/books/biography_36/indexhtml'
Thriller,'/books/thriller_37/indexhtml'
Contemporary,'/books/contemporary_38/indexhtml'
Spirituality,'/books/spirituality_39/indexhtml'
Academic,'/books/academic_40/indexhtml'
Self Help,'/books/self-help_41/indexhtml'
Historical,'/books/historical_42/indexhtml'
Christian,'/books/christian_43/indexhtml'
Suspense,'/books/suspense_44/indexhtml'
Short Stories,'/books/short-stories_45/indexhtml'
Novels,'/books/novels_46/indexhtml'
Health,'/books/health_47/indexhtml'
Politics,'/books/politics_48/indexhtml'
Cultural,'/books/cultural_49/indexhtml'
Erotica,'/books/erotica_50/indexhtml'
Crime,'/books/crime_51/indexhtml'
